Location,0,0.063,0.125,0.17999999999999999,0.25,0.29999999999999999,0.35499999999999998,0.42499999999999999,0.5,0.70999999999999996,1,2,4,8
R1_1,0,0.016202903560369464,0.046448323539621583,3.0839526443138823,60.420627376425898,88.720618734877334,94.631437953681356,98.196076736951298,99.43289837538893,99.956792257172523,99.978396128586269,100,100,100
R1_2,0,0.012110642832908525,0.055708957031427531,1.1892651261928933,26.17109916194353,56.159472944823925,74.344814222738947,92.321852443927725,98.298454681974519,99.921280821586009,99.963668071501203,99.98788935716702,99.993944678583546,99.993944678583546
R1_3,0,0.05513226229720658,0.13452272000525056,1.2614261613610864,27.076556659425933,48.882469043234678,61.856193007023826,74.914820654750699,82.793220937027883,91.851451632466251,93.654276609586404,95.016043488328521,95.4571015867065,95.484667717855103
R2_1,0,0.020168880761545438,0.044371537675445438,3.1530683590598585,45.084171462378364,77.999784865271948,88.55214327972898,96.275480019362192,98.715914591512998,99.845371914161305,99.926047437207615,99.952939278223027,99.966385198730734,99.986554079492294
R2_2,0,0.051015853176394899,0.071422194446938647,1.8671802262553001,37.741528179881897,66.667516930886265,82.416110806433096,94.541303710127892,98.131544377415281,99.827821495529747,99.910722256941355,99.974492073411838,99.987246036705912,99.993623018352963
R2_3,0,0.056653372008710789,0.063451776649756653,1.7267947788252656,20.780456852791914,37.175942712110256,43.029369108049337,50.088379260333589,55.566760333575047,67.735904641044215,75.639050036258155,88.612672226250893,95.575371646120402,98.051124002900693
R3_1,0,0.0063657775797452132,0.05219937615380843,6.3314023808008386,72.623336940607288,94.16258195938633,97.052644980584375,98.593163154879377,99.064230695779514,99.427080017824196,99.573492902158023,99.681711121013436,99.681711121013436,99.993634222420269
R3_2,0,0.062933542179393953,0.08530991273207178,1.2964309688967433,24.067185052584392,50.608357574401374,65.715204743790494,82.259733721190344,89.12648243454899,98.195905124188755,99.021033788319471,99.328708883419011,99.384649809800777,99.45457596777797
R3_3,0,0.033176665745060063,0.11722421896595847,1.8136577273983789,36.821675421620057,61.718551285595687,73.195465855681391,84.263201548244282,89.693115841857789,95.078794581144493,96.759745645562489,97.439867293336903,97.649986176389149,97.666574509261807
