Image name,D5,D10,D16,D25,D30,D50,D75,D84,D90,D95,Description
Loc_1_1.jpg,0.38516854796870426,0.41533709593740853,0.46326636142147354,0.55210132144575197,0.60662725035145926,0.94917709298858843,1.8554897851640364,2.6472956512489656,3.4007522895263231,4.1744538555338799,Top (34.2 cm)
Loc_1_2.jpg,0.2757058652992887,0.30106238084650461,0.32427594776725599,0.36912549712525,0.43309014826306241,0.67251699357606509,1.6221010542965102,2.188985852053698,3.1433736591569774,3.9386968317430435,Top (19.3 cm)
Loc_1_3.jpg,0.20459584635647557,0.25634090858648251,0.28318860106529475,0.33576101224644034,0.37211828535549391,0.61705405662937396,1.552141556782618,2.1047165916047796,3.0902407118308641,3.9115108120192676,Top (12.6 cm)
Loc_1_4.jpg,0.21044656808051312,0.25627833859584265,0.28060060181668767,0.33843873429898247,0.37977970863008087,0.65770923929591008,1.6473060848828975,2.2860096663278089,3.1814247323638352,3.9276039540605234,Top (10.3 cm)
Loc_1_5.jpg,0.2108381754621112,0.25563003965840214,0.28291946024135667,0.33572807524728698,0.3717847898254657,0.62484940694266666,1.5668525436983567,2.1044568379239657,3.0967410750799034,3.9236446060431844,Top (6.35 cm)
Loc_1_6.jpg,0.22354534820711464,0.25609277810176945,0.27472130938404132,0.30412859173117812,0.32818594009378338,0.50556687732408978,1.0931156568084894,1.6230688452926889,1.976370970948822,3.2377515304555642,Scraped top (15.7 cm)
Loc_1_7.jpg,0.20743794837896073,0.25042306667802583,0.26854265945940803,0.29572204863148133,0.3245887340874945,0.50609678348894538,1.0958356887494605,1.6221778453813764,1.9730726164693204,3.2369605281611507,Scraped top (11.3 cm)
Loc_1_8.jpg,0.26341303583586539,0.27682607167173084,0.29292171467476935,0.35153887341511453,0.38712233768006377,0.60535852577866622,1.4692100656979918,1.9395416244644703,2.8804161208672294,3.7893542564166784,Top auto-hdr (18.4 cm)
Loc_1_9.jpg,0.19999883747102742,0.24030224761391733,0.27761463289752408,0.32978701369571867,0.3600850042819238,0.57652855100381095,1.4157323415037046,1.9016763294111589,2.7871913801798738,3.7290373742173282,Top auto-hdr (9.44 cm)
Loc_1_11.jpg,0.77807496252016428,0.84614992504032849,0.92783988006452567,1.0909620386102608,1.2138853220816972,1.7055784559674427,2.8902727349317328,3.5054713604684986,3.9156037774930086,5.7182838254611736,Top flash (58.6 cm)
Loc_1_12.jpg,0.27279246666587126,0.29558493333174257,0.33405074828815556,0.38918575146950113,0.41813483572387428,0.67107336282615337,1.575107009272021,2.0202516004419668,3.0248765430367199,3.8620639951990139,Top flash (21.9 cm)
Loc_1_13.jpg,0.19824826252888161,0.25245617179821805,0.27791672660886235,0.3248252716812477,0.35792524667647346,0.57650281540160775,1.4352196470837899,1.9332761066608204,2.8702757323058519,3.7778939264962599,Top flash (12.6 cm)
Loc_1_14.jpg,0.21907180492995693,0.25440934547046096,0.2797957904088923,0.32735458171000609,0.36047040696463151,0.57882676491990093,1.4609366808451709,1.9479301459244085,2.9037926825712561,3.8008198920505056,Top flash (12.7 cm)
Loc_1_15.jpg,0.20144148312569915,0.24355558437656699,0.27133852620483856,0.31235088907329572,0.34372049833391488,0.57261314418546505,1.4471379504577238,1.9378534045057454,2.8822400406587381,3.7898577703021692,Top flash (9.16 cm)
