Image name,0 mm,0.063 mm,0.125 mm ,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm ,8 mm,Description
Loc_4_1.jpg,0,0,0,3.8283093009301439,19.59752151994266,34.611998370767651,44.464573533618953,53.364284074574094,60.788814962255472,73.496232121301574,80.475439021832472,92.424577301831704,97.786260230616037,100,Top (8.17 cm),
Loc_4_2.jpg,0,0,0,5.0015158759866551,17.299654231389738,36.784935227765189,46.415533941519854,57.282846061536802,63.037444731704895,76.026707945760762,82.913432027531755,93.665646892818216,98.237361270382294,100,Top (7.74 cm),
Loc_4_3.jpg,0,0,0,5.1192289501149446,17.855063619686973,32.980143683242105,42.983992290164437,52.0853000592097,59.630890605960388,72.457653166943103,79.988220296414113,92.10304160348602,97.697194219700734,100,Top (8.09 cm),
Loc_4_4.jpg,0,0,0,3.6849206538124406,16.087145193984313,31.026653729285201,44.207261950479264,53.177116762015942,59.169233098204955,72.208819807164105,79.576999744064011,91.823850495768426,97.66028957698903,100,Top (8.33 cm),
Loc_4_5.jpg,0,0,0,4.9671992491738592,17.18078020586573,31.766028043012369,44.62536672558921,53.405960271024675,60.739859629710161,73.16427952684279,80.442433094615268,92.149590339482842,97.717422118418071,100,Top (7.92 cm),
Loc_4_6.jpg,0,0,0,0,12.6404973107758,26.909647855748446,36.669102804446574,43.524060014065405,50.593798684101451,63.688084744146757,71.136945661926745,86.536991071066666,96.299474660496628,100,Top (13.4 cm),
Loc_4_7.jpg,0,0,0,2.5315812239105782,13.261651339013738,25.587968976028293,34.161790445906135,43.303046197910135,49.62042105077829,61.438035447056052,69.712682394312765,85.894493249886096,96.124477036024615,100,5 cm depth (12.1 cm),
Loc_4_8.jpg,0,0,0,3.7613066706558271,13.900974954305312,25.258544546248388,36.977717867156571,45.233282483921727,50.920340957016442,63.971197073122688,71.640921678707869,86.917088007735188,96.425970991846214,100,5 cm depth (10.8 cm),
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
