Point ID,GNSS Position Solution.Start Time,Easting,Northing,Elevation,GNSS Position Solution.Antenna Height
R01A1,26-10-2022 16:40:31,117409.38099999999,560087.03399999999,0.97999999999999998,2
R01A2,26-10-2022 16:43:27,117419.109,560080.95999999996,0.73099999999999998,2
R01A3,26-10-2022 16:44:58,117424.357,560077.728,0.48599999999999999,2
R01A4,26-10-2022 16:46:11,117427.31200000001,560075.96400000004,0.23499999999999999,2
R01A5,26-10-2022 16:47:46,117429.8,560074.45799999998,-0.021000000000000001,2
R02A1,26-10-2022 16:53:47,117261.811,559906.75100000005,0.98699999999999999,2
R02A2,26-10-2022 16:56:42,117268.333,559898.96699999995,0.73399999999999999,2
R02A3,26-10-2022 16:58:13,117273.359,559892.72999999998,0.48199999999999998,2
R02A4,26-10-2022 16:59:43,117275.149,559890.50899999996,0.23799999999999999,2
R02A5,26-10-2022 17:01:28,117276.787,559888.83900000004,-0.017999999999999999,2
R03A1,26-10-2022 17:08:34,117032.068,559705.86199999996,0.98599999999999999,2
R03A2,26-10-2022 17:10:50,117037.85799999999,559697.18299999996,0.73799999999999999,2
R03A3,26-10-2022 17:12:25,117042.572,559690.196,0.48499999999999999,2
R03A4,26-10-2022 17:14:08,117043.92200000001,559687.68799999997,0.23100000000000001,2
R05A1,26-10-2022 17:24:55,116557.85400000001,559333.50300000003,0.97799999999999998,2
R05A2,26-10-2022 17:27:43,116561.41099999999,559328.152,0.72799999999999998,2
R05A3,26-10-2022 17:29:13,116565.261,559322.00100000005,0.47699999999999998,2
R05A4,26-10-2022 17:30:32,116566.90300000001,559319.60199999996,0.22700000000000001,2
R07A1,26-10-2022 15:27:57,116071.97,558960.603,0.97999999999999998,2
R07A2,26-10-2022 15:29:08,116076.004,558955.95400000003,0.72699999999999998,2
R07A3,26-10-2022 15:29:55,116079.24099999999,558952.02399999998,0.499,2
R07A4,26-10-2022 15:32:33,116081.56299999999,558948.73699999996,0.214,2
R07A5,26-10-2022 15:33:20,116083.36,558946.91899999999,-0.023,2
R08A1,26-10-2022 15:14:46,115824.012,558770.80799999996,0.96799999999999997,2
R08A2,26-10-2022 15:15:42,115829.11199999999,558765.56700000004,0.71699999999999997,2
R08A3,26-10-2022 15:16:30,115830.656,558763.54700000002,0.5,2
R08A4,26-10-2022 15:17:32,115832.617,558761.07700000005,0.22500000000000001,2
R08A5,26-10-2022 15:18:14,115833.942,558759.11399999994,-0.0070000000000000001,2
R09A1,26-10-2022 14:49:18,115526.00999999999,558481.62,0.97399999999999998,2
R09A2,26-10-2022 14:52:20,115528.398,558480.34699999995,0.749,2
R09A3,26-10-2022 14:53:33,115530.174,558479.24699999997,0.48799999999999999,2
R09A4,26-10-2022 14:54:32,115531.973,558478.19200000004,0.23499999999999999,2
R09A5,26-10-2022 14:55:19,115533.71799999999,558477.223,-0.024,2
R09A6,26-10-2022 14:56:41,115535.52,558476.228,-0.27900000000000003,2
R10A1,26-10-2022 14:18:53,115306.89999999999,558201.73100000003,0.98599999999999999,2
R10A2,26-10-2022 14:21:57,115308.99000000001,558200.58100000001,0.72399999999999998,2
R10A3,26-10-2022 14:23:58,115310.584,558199.58100000001,0.49199999999999999,2
R10A4,26-10-2022 14:25:01,115312.38099999999,558198.38500000001,0.22700000000000001,2
R10A5,26-10-2022 14:25:46,115314.27499999999,558197.35999999999,-0.021000000000000001,2
R10A6,26-10-2022 14:28:31,115343.973,558177.42799999996,-0.51200000000000001,2
