Point ID,GNSS Position Solution.Start Time,Latitude (Global),Longitude (Global),Ellipsoid Height (Global),GNSS Position Solution.Antenna Height
L1,,53.026502129999997,4.8255709400000004,43.054000000000002,
L2,,53.02462036,4.8228827000000001,43.057000000000002,
L3,,53.022115620000001,4.8176990699999998,43.061,
L4,,53.019503180000001,4.8125919799999997,43.064999999999998,
L5,,53.016640840000001,4.8060284900000001,43.069000000000003,
L6,,53.013404379999997,4.8002159300000002,43.073999999999998,
L7,,53.010067020000001,4.79586573,43.079000000000001,
R01,,53.026382890000001,4.8269735200000001,43.054000000000002,
R01A1,26-10-2022 16:40:31,53.02639198,4.8269343600000001,43.033999999999999,2
R01A2,26-10-2022 16:43:27,53.026338080000002,4.8270800500000002,42.786000000000001,2
R01A3,26-10-2022 16:44:58,53.026309400000002,4.8271586299999996,42.539999999999999,2
R01A4,26-10-2022 16:46:11,53.026293760000001,4.8272028899999997,42.289000000000001,2
R01A5,26-10-2022 16:47:46,53.026280399999997,4.8272401399999998,42.033999999999999,2
R02,,53.024728240000002,4.8248039299999999,43.057000000000002,
R02A1,26-10-2022 16:53:47,53.024761699999999,4.8247559600000001,43.043999999999997,2
R02A2,26-10-2022 16:56:42,53.024692209999998,4.8248540699999998,42.789999999999999,2
R02A3,26-10-2022 16:58:13,53.024636520000001,4.8249297000000002,42.537999999999997,2
R02A4,26-10-2022 16:59:43,53.024616690000002,4.82495663,42.295000000000002,2
R02A5,26-10-2022 17:01:28,53.024601799999999,4.8249812399999996,42.039000000000001,2
R03,,53.022905899999998,4.8213847899999998,43.058999999999997,
R03A1,26-10-2022 17:08:34,53.02294045,4.8213555299999999,43.045000000000002,2
R03A2,26-10-2022 17:10:50,53.022862869999997,4.8214428399999996,42.798000000000002,2
R03A3,26-10-2022 17:12:25,53.022800420000003,4.8215139100000002,42.543999999999997,2
R03A4,26-10-2022 17:14:08,53.022777980000001,4.8215343199999996,42.289999999999999,2
R04A,,53.021297560000001,4.8176352700000002,43.061999999999998,
R05,,53.019530140000001,4.8144693199999997,43.064,
R05A1,26-10-2022 17:24:55,53.019560949999999,4.8143326000000002,43.042999999999999,2
R05A2,26-10-2022 17:27:43,53.019513119999999,4.8143862400000002,42.792000000000002,2
R05A3,26-10-2022 17:29:13,53.019458120000003,4.8144443399999997,42.542000000000002,2
R05A4,26-10-2022 17:30:32,53.019436689999999,4.8144691000000002,42.290999999999997,2
R06A,,53.017831229999999,4.8106172300000001,43.067,
R07,,53.016098120000002,4.8071533300000002,43.07,
R07A1,26-10-2022 15:27:57,53.016175330000003,4.8071369500000003,43.049999999999997,2
R07A2,26-10-2022 15:29:08,53.016133850000003,4.8071976100000002,42.796999999999997,2
R07A3,26-10-2022 15:29:55,53.016098769999999,4.80724631,42.569000000000003,2
R07A4,26-10-2022 15:32:33,53.016069399999999,4.8072812999999996,42.283000000000001,2
R07A5,26-10-2022 15:33:20,53.016053200000002,4.8073082999999999,42.045999999999999,2
R08,,53.014516069999999,4.8033598700000004,43.072000000000003,
R08A1,26-10-2022 15:14:46,53.014451940000001,4.8034652099999997,43.039999999999999,2
R08A2,26-10-2022 15:15:42,53.01440521,4.8035418300000003,42.789000000000001,2
R08A3,26-10-2022 15:16:30,53.014387169999999,4.8035650600000004,42.572000000000003,2
R08A4,26-10-2022 15:17:32,53.014365120000001,4.8035945900000003,42.298000000000002,2
R08A5,26-10-2022 15:18:14,53.014347579999999,4.8036145599999998,42.064999999999998,2
R09,,53.011835079999997,4.7990600299999997,43.076000000000001,
R09A1,26-10-2022 14:49:18,53.011831649999998,4.7990602100000004,43.049999999999997,2
R09A2,26-10-2022 14:52:20,53.011820389999997,4.7990959399999999,42.825000000000003,2
R09A3,26-10-2022 14:53:33,53.011810629999999,4.79912253,42.564,2
R09A4,26-10-2022 14:54:32,53.01180128,4.7991494799999996,42.311,2
R09A5,26-10-2022 14:55:19,53.011792700000001,4.7991755899999999,42.052,2
R09A6,26-10-2022 14:56:41,53.011783889999997,4.7992025500000004,41.796999999999997,2
R10,,53.009294019999999,4.79583154,43.079000000000001,
R10A1,26-10-2022 14:18:53,53.00930056,4.7958299499999999,43.066000000000003,2
R10A2,26-10-2022 14:21:57,53.009290380000003,4.7958612199999999,42.802999999999997,2
R10A3,26-10-2022 14:23:58,53.009281510000001,4.7958850899999996,42.572000000000003,2
R10A4,26-10-2022 14:25:01,53.009270899999997,4.7959120000000004,42.307000000000002,2
R10A5,26-10-2022 14:25:46,53.00926183,4.7959403399999996,42.058,2
R10A6,26-10-2022 14:28:31,53.009084909999999,4.7963852200000003,41.567999999999998,2
